top - 14:02:00 up 11:58,  1 user,  load average: 0.18, 0.13, 0.13
Tasks: 198 total,   1 running, 197 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.5 us, 18.8 sy,  0.0 ni, 65.6 id,  0.0 wa,  0.0 hi,  3.1 si,  0.0 st
MiB Mem :   2980.8 total,    698.9 free,    814.7 used,   1467.2 buff/cache
MiB Swap:   1401.6 total,   1401.6 free,      0.0 used.   1953.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1527 kerri     20   0  223032  15312  13604 S   0.0   0.5   0:00.07 gnome-session-b
   1552 kerri     39  19  633500  26932  19164 S   0.0   0.9   0:02.12 tracker-miner-f
   1589 kerri     20   0   91900   5168   4732 S   0.0   0.2   0:00.00 gnome-session-c
   1597 kerri     20   0  537204  10488   8544 S   0.0   0.3   0:00.31 gvfs-udisks2-vo
   1608 kerri     20   0  723912  17820  14828 S   0.0   0.6   0:00.40 gnome-session-b
   1630 kerri     20   0  315196   8412   7384 S   0.0   0.3   0:04.52 gvfs-afc-volume
   1636 kerri     20   0  237404   7172   6488 S   0.0   0.2   0:00.05 gvfs-gphoto2-vo
   1643 kerri     20   0  236624   6636   6124 S   0.0   0.2   0:00.07 gvfs-goa-volume
   1647 kerri     20   0  634944  39356  32236 S   0.0   1.3   0:00.15 goa-daemon
   1673 kerri     20   0  309576   7904   7148 S   0.0   0.3   0:00.06 at-spi-bus-laun
   1687 kerri     20   0  412120  15016  13080 S   0.0   0.5   0:00.15 goa-identity-se
   1699 kerri     20   0    8428   4620   4152 S   0.0   0.2   0:00.08 dbus-daemon
   1701 kerri     20   0  236448   6812   6236 S   0.0   0.2   0:00.07 gvfs-mtp-volume
   1730 kerri     20   0  308124  26760  19460 S   0.0   0.9   0:00.57 snapd-desktop-i
   1793 kerri     20   0  623764  14148  11640 S   0.0   0.5   0:02.09 xdg-desktop-por
   1798 kerri     20   0  662880  29524  21268 S   0.0   1.0   0:00.58 xdg-desktop-por
   1806 kerri     20   0  583024  20188  17676 S   0.0   0.7   0:00.26 gnome-shell-cal
   1812 kerri     20   0 1072084  25984  22208 S   0.0   0.9   0:00.22 evolution-sourc
   1822 kerri     20   0  840412  30348  26532 S   0.0   1.0   0:00.37 evolution-calen
   1835 kerri     20   0  156928   6084   5516 S   0.0   0.2   0:00.03 dconf-service
   1838 kerri     20   0  672192  28744  25368 S   0.0   0.9   0:00.21 evolution-addre
   1853 kerri     20   0  314860   8324   7328 S   0.0   0.3   0:00.14 gvfsd-trash
